,PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
70,Pole Land,40227,Kölner Straße 336A , 40227 Düsseldorf,"Pole Dance ist eine Sportart, die sinnlichen Tanz mit akrobatischen Elementen, Akzenten aus dem Ballett, Kraft- und Ausdauersport kombiniert.
Durch die Auseinandersetzung mit dem Sport und dem Bestreben, immer komplexere Figuren zu beherrschen, lernt man an seine Grenzen zu kommen, diese zu überwinden und sich immer wieder neuen Herausforderungen zu stellen. Diese Philosophie nehmen die Teilnehmerinnen auch mit in den Alltag. Pole Dance stärkt so neben dem Selbstbewusstsein auch das eigene Körpergefühl und die Ausstrahlung.
Es gibt kaum einen Muskel, der bei diesem Training nicht zum Einsatz kommt. Die Teilnehmerinnen entwickeln eine sehr gute Körperspannung und -Beherrschung, die man schon bald an ihrer Haltung erkennen kann. Die Kraftübungen werden mit Tanzschritten zu Choreografien zusammengesetzt, die immer wieder geübt werden, bis sie fließend ausgetanzt werden können. Ziel ist es, die Figuren und Schritte leicht und unbeschwert wirken zu lassen. Die Trainerinnen unterstützen hierbei, geben Tipps und Hilfestellungen – und so stellen sich auch die ersten Erfolgserlebnisse ein.
Alle Trainerinnen bei Pole Land haben eine zertifizierte Pole Dance Ausbildung abgeschlossen. Die Teilnehmerinnen trainieren stets unter professioneller Anleitung.",0,4.9,57 Rezensionen, info@poleland.de,https://www.poleland.de,+49 15737270967,https://www.eversports.de/s/pole-land,2023-05-12 15:56:51
71,POLEDANCE NRW,40237,Rethelstraße 28 Hof , 40237 Düsseldorf,"Unser über 500 Quadratmeter großes Studio mit zwei Trainingsräumen bietet beste Trainingsvoraussetzungen speziell für Pole Dance und weitere Sportarten wie Tanz, Yoga oder Pilates.
Große Fensterfronten fangen tagsüber den Sonnenschein ein, abends erzeugt die indirekte Beleuchtung ein angenehmes Licht während die Fußbodenheizung an kalten Tagen für die optimale Wohlfühl-Temperatur sorgt.
Der weite Abstand zwischen den Stangen lässt genug Bewegungsfreiheit zu, so dass Du Deinen gesamtem Bewegungsradius nutzen kannst, die große Spiegelfläche gibt Dir visuell direktes Feedback über Deine Bewegungsausführungen, was Deine Trainings-Fortschritte noch mehr fördert indem es den Lernprozess beschleunigt!",0,4.9,42 Rezensionen, office@poledance.nrw,https://www.poledance.nrw,+49 1721010400,https://www.eversports.de/s/poledance-nrw,2023-05-12 15:56:52
72,OLD Kaifu-Lodge,20144,Bundesstraße 107, 20144 Hamburg,"In der Kaifu-Lodge werden Kurse zu den Themen Kraftsport, Cadio, Schwimmen, Squash, Athletik, Eltern/Kind- und Outdoorsport angeboten. Die Sportanlage befindet sich im Herzen von Eimsbüttel und ist nicht weit von den Bushaltestellen ""Christuskirche"", ""Kaiser-Friedrich Ufer"" und ""Schlump"" entfernt. Parkplätze sowie ein Parkhaus befinden sich in unmittelbarer Nähe. Das Studio verfügt über 3000 qm² Fitnessfläche, sowie den größten Yoga & Pilatesbereich in Hamburg. Zudem gibt es je einen Pool im Innen- und Außenbereich und eine Gastronomie.",0,0.0,(Noch keine Bewertungen), info@kaifu-lodge.de,http://www.kaifu-lodge.de,+49 40 401281,https://www.eversports.de/s/kaifu-lodge,2023-05-12 15:56:52
73,Flow Academy,89077,Pfarrer-Weiß-Weg 16, 89077 Ulm,Dein Studio für Poledance und Flexibility.,0,5.0,2 Rezensionen, info@flowacademy-ulm.de,0,+49 15165181566,https://www.eversports.de/s/flow-academy,2023-05-12 15:56:52
74,LOFT1 BASEL CITY,4051,Centralbahnplatz 10 , 4051 Basel,"Hell und freundlich und mit 13 Stangen ausgestattet, präsentiert sich das neue Loft1- Studio im gewohnten Stil, direkt am Bahnhof von Basel.
Ein kleiner Balkon, die hohe Decke und der Blick auf den Bahnhofsplatz machen dieses Studio zu etwas besonderem.
Im Loft1 Basel City werden folgende Kurse angeboten: Polefitness, Aerial Hoop und Stretching
Weitere Angebote sind: Schnupperlektionen, Privatstunden, Workshops und Polterevents.
Loft1 steht für Qualität. Unser Ziel ist es dass sich unsere Kunden in den Loft1 Studios wohl fühlen und gemeinsam mit uns ihre Ziele erreichen. Dabei ist der Spass - Faktor im Vordergrund.
Unser Motto: Fitness muss Freude machen.
In den Loft1 Studios herscht eine schöne und unkomplizierte Atmosphäre. Alle Frauen egal in welchem Alter sind bei uns herzlich willkommen!",0,4.7,27 Rezensionen, info@loft1.ch,https://www.loft1.ch/studio-basel-2-2/,0,https://www.eversports.de/s/loft1-basel-city,2023-05-12 15:56:53
75,Poledancestar,4317,Gabelsbergerstraße 1A , 04317 Leipzig,"Poledancestar bedeutet Kompetenz, Zusammenhalt, Spaß, Flexibilität. In Vielen Kursen mit und ohne Pole bekommst du eine optimale Mischung, um Dich vorranzubringen - sportlich und mental. Kinder ab 4 Jahre trainieren bei Poledancestar und nach oben sind keine Grenzen gesetzt. Schnupperstunden, Basickurse, Poletricks & -transitions, Wettkampfvorbereitung/Choreografieerstellung, Privattraining, Pole-Party, Twerken, Exotic Pole, Rent your Pole, Poledance Kids & Teens,Fit for Pole, Flexibility, Poledancestar*-Instructor",0,4.9,51 Rezensionen, info@poledancestar.de,http://poledancestar.de,+4917621887999,https://www.eversports.de/s/poledancestar,2023-05-12 15:56:53
76,Aerial Studio,3565,Mississippidreef 2, 3565 CG Utrecht,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,4.8,16 Rezensionen, info@aerial-studio.nl,https://www.aerial-studio.nl,+31 628209884,https://www.eversports.de/s/aerial-studio,2023-05-12 15:56:54
77,Pole Plus,86156,Ulmer Straße 152 , 86156 Augsburg,"Pole-Dance ist so viel mehr als ein Tanz an der Stange.
Ursprünglich kommt Pole-Dance aus dem chinesischen Zirkus und wurde nur von Männern ausgeübt, der akrobatische Aspekt ist demnach definitiv nicht zu vernachlässigen.
Wir möchten dir im Pole Plus zeigen, was die absolute Trendsportart alles zu bieten hat.
Denn genau wegen seiner Vielseitigkeit erfreut sich der Pole-Sport so einer großen Beliebtheit und fasziniert einfach jeden.
Das Training setzt sich zusammen aus einem Aufwärm-Programm, dem Pole-Training und einem Cool-Down.
Wir trainieren verschiedene Figuren, Posen, Kombinationen, akrobatische Elemente und auch Choreografien.
Du benötigst für unsere Anfängerkurse keinerlei Vorkenntnisse und auch kein spezielles Fitness-Level.
Wir freuen uns auf dich!",0,4.9,5 Rezensionen, info@pole-plus.com,http://www.pole-plus.com,+49 15776626728,https://www.eversports.de/s/pole-plus,2023-05-12 15:56:55
78,Center of Moving Arts,64625,Fabrikstraße 21, 64625 Bensheim,"Das Center of Moving Arts liegt 100m entfernt vom Edeka Jakobi Center in Bensheim.
Das Studio hat 3 Tanzräume und eine gemütliche Bar mit über 700qm. Liebevoll eingerichtet mit einer Lounge erwartet dich ein Tanzzentrum mit Stil und Charme im ""Industrial - Look"". Du kannst frei nach belieben Kurse wie Pole-Dance, Aerial Hoop, Hip Hop / New Style / Millennium Classes / Videoclip, Jazz / Modern / Contemporary, Bungee Dance und Yoga buchen. Die ausnahmslos professionell ausgebildete Dance-Coaches sorgen in jedem Style für Energie, Niveau und Spaß.
Du erreichst das Center of Moving Arts zu Fuß in 10min vom Hauptbahnhof und hast direkt vor unserem Center Parkmöglichkeiten.",0,4.9,18 Rezensionen, info@center-of-moving-arts.de,http://www.center-of-moving-arts.de,+4962519447196,https://www.eversports.de/s/center-of-moving-arts,2023-05-12 15:56:56
79,Freaky-Fitness,88250,Danziger Straße 3 , 88250 Weingarten,"Freaky-Fitness ist ein Kursstudio in Weingarten (Ravensburg). Der Schwerpunkt der Studios liegt auf dem Polesport, welcher sowohl für Anfänger als auch für Fortgeschrittene und Profis angeboten wird. Mittlerweile beinhaltet das Kursprogramm auch viele ergänzende Kurse rund um das Thema Poledance und Pole Sport, wie Power Pole, Pole Splits, Heels Dance, Splits uvm. Weiterhin wird auch eine Körperzusammensetzungsanalyse vom weltweiten Marktführer Inbody angeboten um dadurch das Training spezieller und zielführender zu planen.
Bei uns gibt es kein wetteifern, es wird als Team trainiert und jeder freut sich über die Erfolge des Stangennachbarn. Dies schafft ein unglaublich angenehmes Trainingsklima, in welchem jeder auf seinem Level arbeiten kann. Wir teilen unser Wissen extrem gerne und sehen es als unsere Aufgabe an, Dich in deiner Entwicklung zu fördern.",0,4.9,44 Rezensionen, info@freaky-fitness.de,https://freaky-fitness.de/,+49 15126920078,https://www.eversports.de/s/freaky-fitness,2023-05-12 15:56:56
80,Studio AERIS,3511,Westerkade 10 , 3511 HA Utrecht,"Studio AERIS offers a boutique fitness experience with pole, aerial and dance classes. Feel free to join a pole technique class, exotic pole, aerial hoop, aerial hammock, twerk and more.
The studio is located at the Westerkade 10, close to the Utrecht city centre and Vaartsche Rijn station.
Classes for Everybody - Professional Instructors - Top Rated on Google
Read more on www.studio-aeris.com",0,4.9,37 Rezensionen, info@studio-aeris.com,http://www.studio-aeris.com,+31 621446117,https://www.eversports.de/s/studio-aeris,2023-05-12 15:56:57
81,Pole Statement,69123,Siemensstraße 40 , 69123 Heidelberg,"Bei Pole Statement unterrichten wir Pole Dance in unterschiedlichen Leveln und orientieren uns immer an den persönlichen Zielen und Bedürfnissen unserer Teilnehmerinnen. Unsere Trainerinnen unterrichten mit viel Herz, Freude und Professionalität. Wir lieben Pole Dance und freuen uns, dass wir unsere Leidenschaft an unsere TeilnehmerInnen weitergeben, voneinander lernen, uns gegenseitig inspirieren und gemeinsam über uns hinauswachsen können.
Neben Pole Dance bieten wir auch weitere Fitnesskurse wie Jumping Fitness und twerXout an. Es wird also nie langweilig!",0,5.0,22 Rezensionen, info@polestatement.de,http://www.polestatement.de,+49 17672506814,https://www.eversports.de/s/pole-statement,2023-05-12 15:56:58
82,PoleCreation,87435,Immenstädter Straße 11 , 87435 Kempten (Allgäu),"Du bist neu hier? Melde dich bitte ausschließlich vorab per Mail!
polecreatinstudio@gmail.com
Herzlich Willkommen bei PoleCreation! Lerne dich selbst zu kreieren!
Dein Studio in Kempten für Poledance, Fitness, Flexi und Akrobatik!​
Dich erwartet in stets freundlicher und motivierender Atmosphäre ein Training ohne Druck.
Egal ob Anfänger oder Fortgeschrittener, wenn auch Du ganzheitlich trainieren und dich lieben lernen möchtest, dann bist du hier genau richtig!
Bei Interesse für Probetermine oder neue Anfängerkurse schreibe und gerne eine E-Mail an: polecreationstudio@gmail.com.
Besuch uns auch gerne auf unserer Homepage:
www.polecreation.de",0,5.0,18 Rezensionen, polecreationstudio@gmail.com,http://www.polecreation.de,0,https://www.eversports.de/s/polecreation,2023-05-12 15:56:59
83,Soul Flight,10969,Lobeckstraße 36, 10969 Berlin,"Pole Dance ist ein Tanz, welcher Kraft, Eleganz und Schönheit verbindet. Er steht für die Verschmelzung von Verführung und Akrobatik. Im Poledance Studio Soul Flight, erlernst du diese ästhetische Trainingsmethode nicht nur genauer kennen, sondern trainierst zugleich deinen ganzen Körper, straffst diesen und wirst so Stück für Stück flexibler. Soul Flight bietet neben hochmotivierten Trainern, professionellen Trainingsgeräten und jeder Menge Platz zur freien Entfaltung auch hippe beats und lässt dich den Alltagsstress vergessen. Ausgestattet ist das Studio mit 2 Poledanceräumen, sowie 4,50 m hohen Wettkampfstangen, die zu 100% aus Edelstahl bestehen. Verankert sind diese mit fünf 12er Schrauben, sowohl oben als auch unten und stehen dir für dein Training zur Verfügung.",0,4.8,5 Rezensionen, info@soulflight.de,http://www.soulflight.de,+49 17656888299,https://www.eversports.de/s/soul-flight,2023-05-12 15:56:59
84,Passionate Pole & Sports,73230,Schöllkopfstraße 40 , 73230 Kirchheim unter Teck,"Wir bieten dir im Passionate Pole & Sports ein vielseitiges Kursangebot. Ob Pole Dance Kurse, Stretching, Akrobatik oder Conditioning, es ist für alle was dabei. Mit jeder Menge Spaß wirst du in unseren Kursen ganz nebenbei Kraft aufbauen, deine Beweglichkeit, Ausdauer und dein Körpergefühl fördern und verbessern. Komm vorbei, lerne uns kennen und entdecke die vielseitige Welt des Pole Sports. Bei uns wird jede/r mit offenen Armen empfangen.",0,5.0,23 Rezensionen, info@passionatepolesports.de,https://www.passionatepolesports.de,0,https://www.eversports.de/s/passionate-pole-and-sports,2023-05-12 15:57:00
85,YOGA at Lobe Block,13357,Böttgerstraße 16 , 13357 Berlin,"Yoga Makes Us Happy
Rooftop Yogastudio in Berlin YOGA at Lobe Block ist ein mit viel Liebe und Klarheit geschaffener Ort. Wir sind das einzige Out- und Indoor Studio Berlins mit privater Outdoor Fläche und Rooftop. Bei uns liegt der Fokus auf einer breiten Auswahl an Yoga Stilen und Behandlungen.
Lehrer und Therapeuten mit vielfältigen Erfahrungen und Schwerpunkten teilen kreativ und mit Herzblut ihre Leidenschaft mit dir. Zeitgemäßes Yoga, gesundheitliche Ausrichtung des Körpers und Geistes, Offenheit und Flexibilität im Geiste, eine Prise Kreativität und kein bisschen Eso-Feeling.
Unser Studio rund um Yoga, Meditation, Massagen und anderen Behandlungen ermöglicht dir, deine Balance zu stärken. Wir bieten 30+ Online- & Outdoor Klassen pro Woche an — Hatha, Vinyasa, Jivamukti, Yin & Restorative, Strala, Forrest & Specials wie Yoga & Music & Gong Meditation. Alle Klassen finden in einem unserer Studioräume oder auf den (Dach)Terrassen statt. Bleib du selbst mit uns im YOGA at Lobe Block!
YOGA at Lobe Block is a centre with two studios for movement and wellbeing creating unique classes, workshops and treatments for you.",0,4.8,115 Rezensionen, yoga@makesmehappy.de,http://lobe.yoga,0,https://www.eversports.de/s/yoga-at-lobe-block,2023-05-12 15:57:01
86,SWISS MEGA PARK,4402,Schützenstrasse 2, 4402 Frenkendorf,"Der SWISS MEGA PARK in Frenkendorf ist nicht nur Sportpark, sondern auch Freizeitpark mit einem vielfältigen In- und Outdoorangebot. Im Sportpark kannst du Tennis, Badminton, Squash, Padel, Indoor Fußball, Bubble Soccer, Minigolf und Fitness ausüben. Im Funpark stehen Abenteuer wie Megajump, ein Kletterpark, Kidsfun, Lasertag und Ferienangebote zur Verfügung. Euren Magen könnt ihr mit einem ""Börger to go"" aus dem Börger Star verwöhnen.",0,4.5,12 Rezensionen, kontakt@swissmegapark.ch,http://www.swissmegapark.ch/,+41 61 901 76 64,https://www.eversports.de/s/swiss-mega-park,2023-05-12 15:57:02
87,Tanzschule Poledance Reutlingen,72793,Uhlandstraße 60 , 72793 Pfullingen,"Die Tanzschule Poledance Reutlingen befindet sich in der Uhlandstraße 60 in 72793 Reutlingen- Pfullingen. Wir bieten Kurse in Poledance, Aerial Silk und Aerial Hoop an. Außerdem gibt es Conditioning Kurse wie Stretching, freies Training und Handstand. Komm bitte 10 min. vor Unterrichtsbeginn damit du dich in Ruhe umziehen und noch eventuelle Fragen klären kannst. Ziehe Sportkleidung an und bringe ein Handtuch für deine Matte mit, für die Poledance Kurse brauchst du eine kurze Hose. Du kannst direkt vor dem Haus, an der Straße kostenlos parken, ca. 10 Minuten zu Fuß befindet sich außerdem eine Bushaltestelle.
Komm vorbei- wir freuen uns auf dich!",0,4.9,39 Rezensionen, info@poledance-reutlingen.de,https://www.poledance-reutlingen.de,0,https://www.eversports.de/s/tanzschule-poledance-reutlingen,2023-05-12 15:57:03
88,Pole Dance Krefeld,47809,Hochfelder Straße 47, 47809 Krefeld,"Das Studio Pole Dance Krefeld findet ihr in Krefeld Oppum direkt neben dem Bahnhof Krefeld Oppum. Trainiert wird in einem lichtdurchfluteten 200m² großen Raum auf ca 140m² Tanzfläche. Der Raum verfügt über 14m Spiegelwand und über 4m hohe Decken. Im Sommer sorgt eine Klimaanlage für ein angenehmes Training. Das Kursangebot umfasst Pole Dance, Exotic Pole Dance, Kids Pole, Bungee Fit & Jump und Workshops für Chair Dance, Lap Dance, Floorwork und Aerial Hoop. Wenn gerade nicht getanzt wird, versammeln wir uns im gemütlichen Lounge Bereich. Öffentliche Parkplätze am Straßenrand.",0,4.9,86 Rezensionen, info@poledancekrefeld.de,https://www.poledancekrefeld.de,+4917623943247,https://www.eversports.de/s/pole-dance-krefeld,2023-05-12 15:57:03
89,Firstsports - Polefitness,39112,Halberstädter Straße 17 , 39112 Magdeburg,"Herzlich Willkommen bei Firstsports Polefitness aus Magdeburg.
Im Herzen von Magdeburg findest Du hier das einzige, tägliche Angebot an Polefitness- und Aerialsportarten der Stadt. Die liebevollen und hochmotivierten Trainerinnen begeistern Dich für ganz besondere Sportarten. Sie legen viel Wert auf individuelle Betreuung und qualitative Trainings, vor allem mit Spaß und einer Menge Lerneffekten. Die Teilnehmerinnen schätzen besonders die persönliche Atmosphäre und die herzliche Betreuung durch das Trainerteam.
Du kommst ganz bequem mit den öffentlichen Verkehrsmitteln sowie Fahrrad oder Auto zum Firstsports - Polefitness Studio.",0,4.9,38 Rezensionen, polefitness@firstsports.de,http://www.firstsports-polefitness.de,+4917660163383,https://www.eversports.de/s/firstsports-polefitness,2023-05-12 15:57:04
90,Sportheim Abensberg,93326,Von-Hazzi-Straße 7, 93326 Abensberg,"Das Sportheim Abensberg befindet sich in der Abensberger Altstadt und bietet seit 2009 Gruppenfitnesskurse auf höchstem Niveau für alle Levels. Frauen & Männer sind gleichermaßen willkommen. Trainiert wird in familiärer Atmosphäre mit professionellen Trainern, das sorgt für effizientes Training mit Funfaktor. Langhanteltraining, Core-Training, funktionelles Training, TRX, deepWORK, bodyART, POUND und Zumba sorgen für Abwechslung im Training.
Für alle Tanz- und Akrobatikfans hat das Sportheim Abensberg unter auch Poledance und Aerial Hoop im Angebot.",0,4.9,36 Rezensionen, office@sportheim.net,http://www.sportheim.net,0176-24621998,https://www.eversports.de/s/sportheim-abensberg,2023-05-12 15:57:04
91,Poledance-Area,42853,Mandtstraße 2 , 42853 Remscheid,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,4.4,1 Rezensionen, info@poledance-area.de,http://www.poledance-area.de,+49 01623675667,https://www.eversports.de/s/poledance-area,2023-05-12 15:57:05
92,Infinity Polesports Eggenfelden,84307,Landshuter Straße 65, 84307 Eggenfelden,"Infinity Polesports Eggenfelden ist das erste Sportstudio für Poledance in Eggenfelden beziehungsweise im Landkreis Altötting. Es gibt zwei Studios, eines in Burgkirchen und das zweite in Eggenfelden. Du kannst in den neuen und top-ausgestatteten Studios verschiedene Kurse buchen, vom Einsteigerkurs bis zum Profikurs, aber auch Exotic Pole für sexy Moves oder Pole + für ein besonders intensives Training werden angeboten.",0,4.9,11 Rezensionen, info@infinity-polesports.de,https://www.infinity-polesports.de,+431721642077,https://www.eversports.de/s/infinity-polesports-eggenfelden,2023-05-12 15:57:05
93,Da Becca Flow and Fit,44651,Eickeler Markt 3A , 44651 Herne,"Für Neukunden-bitte eine Email bei Interesse an unseren Kursen an info@dabecca.de .
Da Becca Flow and Fit - wir heissen Dich herzlich willkommen in unserem wunderschönen Pole/Floorwork/ Tanzstudio. Hier wird wert auf persönliche und kleine Lerngruppen gelegt und Dir ein Safespace für Frauen mit professioneller Betreuung geboten. Trainingserfolge mit Spass , viel Musik, Tanzen und auch schweisstreibenden Stretching und Choreos. Mal sensual, mal rockig , mal contemporary . Wir haben Dir im kleinen rahmen viel zu bieten . Wir freuen uns auf das Tanzerlebnis mit Dir oder auch in unseren Mobility Kursen mit Dir an Deiner flexibilität und Kraft zu arbeiten !!!
Wir arbeiten mit Flatrates und 10 und 5 er Karten daher seid euch bitte im klaren das nicht immer gewährleistet ist das ihr euren Wunschkurs jede Woche belegen könnt dafür aber bis zu 80 Kurse im Monat zur Auswahl habt !!",0,5.0,21 Rezensionen, info@dabecca-flowandfit.de,http://www.dabecca-flowandfit.de,+49 17620913644,https://www.eversports.de/s/da-becca-flow-and-fit,2023-05-12 15:57:06
94,Munich Poledance,80636,Leonrodplatz 2, 80636 München,"Herzlich Willkommen bei Munich Poledance.
In einer entspannten und freundlichen Atmosphäre kannst Du Deine ersten Schritte im Poledance wagen, über Dich selbst hinauswachsen und vor allem ganz viel Freude an Bewegung haben.
Wie der Name schon sagt, liegt der Fokus bei Munich Poledance ganz klar auf Poledance (Static, Spin, Heels,...), aber das Angebot umfasst auch weitere Formate wie Aerial Hoop, Chairdance, Floorwork, Lapdance und Strip'nTease sowie FeetUp, Flexibility, Workout und Yoga. Sämtliche Formate können je nach Kursplan als Gruppenkurse oder auf Anfrage auch als Privatstunden/private Kleingruppen gebucht werden. Außerdem gibt es die Möglichkeit für Freies Training im Beisein einer Trainerin. Auch für Mädelsabende, (Geburtstags-)Partys, sowie Junggesellinnenabschiede wird Munich Poledance gerne gebucht.
Bei uns sind natürlich alle Altersstufen und Erfahrungs-Niveaus herzlich Willkommen.
Durch große Fensterfronten wirkt das Studio sehr hell und freundlich. Eine Umkleide mit geräumigen Spinden sowie 2 Duschen ist für unsere KundInnen natürlich auch vorhanden.
Das Munich Poledance Studio liegt direkt am Leonrodplatz in München und ist gut mit den öffentlichen Verkehrsmitteln (Straßenbahnlinie 12/20/21 sowie Buslinie 53) sowie dem Fahrrad und Auto erreichbar.
Über das Team
Seit April 2020 ist die langjährige Trainerin Isabel nun Inhaberin von Munich Poledance.
Da sie Studentin im Bereich Fitness- & Gesundheitsmanagement ist, liegt ihr die Nachhaltigkeit des Trainings sowie ständige Aus- und Weiterbildung sehr am Herzen. Um ein möglichst gesundes, sicheres und vielfältiges Training anzubieten, ist das Munich Poledance Trainerteam deswegen sehr gut ausgebildet und hochwertig zertifiziert.
Natürlich soll der Spaß und Freude an Bewegung auch nicht zu kurz kommen und so bringen alle TrainerInnen ihre eigene Seite und den persönlichen Humor mit in die Stunden mit ein.
Besuche uns und lerne unser einzigartiges Trainerteam kennen!
Fragen und Antworten
Was sollte ich sonst noch wissen?
Alle häufig gestellten Fragen findest Du in unserem Q&A auf der Website. Für weitere Fragen steht Dir das MPD Team per E-Mail (isabel@munich-poledance.de) oder telefonisch/per WhatsApp unter 015906736735 gerne zur Verfügung.",0,4.9,74 Rezensionen, isabel@munich-poledance.de,https://www.munich-poledance.de,015906736735,https://www.eversports.de/s/munich-poledance,2023-05-12 15:57:06
95,Luftbonbon,32547,Königstraße 45 , 32547 Bad Oeynhausen,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,5.0,9 Rezensionen, info@luftbonbon.com,https://www.luftbonbon.com/,01622572081,https://www.eversports.de/s/luftbonbon,2023-05-12 15:57:07
96,Dance & Pole Deltawerk,42657,Gasstraße 10-18 , 42657 Solingen,"Wir sind ein kleines, sehr persönliches Studio mit einer großen Auswahl an Kursangeboten.
Dance & Pole in Leverkusen ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden.
Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von uns inspirieren.",0,0.0,(Noch keine Bewertungen), info@danceandpole.de,https://www.danceandpole.de/,+49 1741929037,https://www.eversports.de/s/dance-and-pole-deltawerk,2023-05-12 15:57:07
97,SECRET MOVES - Athletic Dance Studio,46282,Gelsenkirchener Straße 37 , 46282 Dorsten,"Secret Moves lädt dich herzlich ein, deine Welt auf den Kopf zu stellen.
Mit einer Vielfalt an verschiedenen Akrobatik- und Fitnessangeboten hast du die Möglichkeit, dich in verschiedenen Bereichen auszuprobieren und dir dein individuelles Training zusammenzustellen. Bei Secret Moves erwartet dich neben einer familiären Atmosphäre ein gesundheitsorientiertes Unterrichtskonzept mit fachkompetenten Trainerinnen.
Egal, ob du bereits sportliche Vorerfahrung hast!
Das Team von Secret Moves bringt dich mit jeder Menge Spaß an dein persönliches Fitness-Ziel.",0,4.9,66 Rezensionen, info@secret-moves.de,https://www.secret-moves.de/,+491702766191,https://www.eversports.de/s/secret-moves-athletic-dance-studio,2023-05-12 15:57:08
98,BALANCE Neumarkt,92318,Deininger Weg 94 , 92318 Neumarkt in der Oberpfalz,"BALANCE Neumarkt ist ein Kursstudio mit einem sehr breiten Online- und Studioprogramm. Es befindet sich in Neumarkt in der Oberpfalz, unweit von der Bushaltestelle Regensburger Straße. Angeboten werden Tanzkurse (Jazz Dance, Dance Kids, Streedance & Funky Jazz), Poledance, Yoga, Pilates, Sings und vieles mehr. Bei BALANCE Neumarkt werden sowohl regelmäßige Klassen als auch aufbauende Kurse und einmalige Workshops angeboten. Seit 2020 steht allen Kunden eine Online-Videothek zur Verfügung. Videos können einzeln gekauft oder mit dem entsprechenden Service erworben werden.",0,4.9,92 Rezensionen, studio@balance-neumarkt.de,http://www.balance-neumarkt.de,+49 160 80 20 246,https://www.eversports.de/s/balance-neumarkt,2023-05-12 15:57:08
99,Stadtgazellen Studio,49084,Neulandstraße 12 , 49084 Osnabrück,"Dein Studio für Poledance und Luftakrobatik in Osnabrück! In unserem wunderschönen Studio mit Loftcharakter bieten wir euch Pole Dance und Aerial Fitness Kurse auf höchstem Niveau. Unsere professionell ausgebildeten Trainer unterrichten euch in Kleingruppen um ein gesundheitsorientiertes, qualitativ hochwertiges Fitness- und Tanztraining mit viel Spaß zu bieten. Jedem Teilnehmer steht ein eigenes Luftakrobatikgerät zur Verfügung. Auf 250qm Fläche findet ihr zwei Kursräume und einen großzügigen Umkleidebereich mit Kaffeeküche, Lounge Bereich und Dusche. Ausreichend kostenlose Parkplätze stehen im Innenhof der Neulandstr. 12 zur Verfügung.",0,4.9,63 Rezensionen, info@stadtgazellen-studio.de,http://www.stadtgazellen-studio.de,+491743017074‬,https://www.eversports.de/s/stadtgazellen-studio,2023-05-12 15:57:09
100,IMA Intentional Movement Academy,13189,Prenzlauer Promenade 189 , 13189 Berlin,Aktuell mieten wir Räume im First Floor Studio in Prenzlauer Berg und bieten dort mehrere Live Klassen pro Woche an. Außerdem kannst du Online Kurse bei uns buchen.,0,5.0,4 Rezensionen, hello@stretching-kurse.de,https://stretching-kurse.de,0,https://www.eversports.de/s/ima-intentional-movement-academy,2023-05-12 15:57:10
101,Anni's Pole-Dance Neumünster,24534,Kieler Straße 52 , 24534 Neumünster,"Hallo lieber Schüler,
schön, dass du zu mir gefunden hast. Du suchst ein Hobby, welches die Spaß bringt und deine allgemeine Fitness stärkt? Dann bist du hier genau richtig!
Unser Angebot:
· Art of Pole
· Contemporary Pole
· Exotic Pole
· Aerial Hoop
· Chair Dance
· Technik-Training
· freies Training
· Workshops
· Junggesellinnenabschied
Und das für jedes Level! Bei mir findet jeder etwas :)
Über das Studio:
· ca. 100 qm Kursraum
· 9 Stangen
· 8 Aerial Hoops
· viele kostenlose Parkplätze
Über euren Kurs:
· Anmeldung zu einem bestimmten Level, Tag & Uhrzeit
· Möglichkeit im gebuchten Level zwischen verschiedenen Tagen zu wechseln, sofern das Level mehrmals angeboten wird
· open Training (nutze den Raum kostenlos bis zu 3x pro Woche)",0,5.0,4 Rezensionen, anni@annis-poledance.de,https://www.annis-poledance.de/,+49 15253821082,https://www.eversports.de/s/annis-pole-dance-neumuenster,2023-05-12 15:57:10
